Number[8]	Name[8]	2017[update] population[9]	Area (sq mi.)[10]	Area (km2)	2017[update] populationdensity (/sq mi.)	2017[update] populationdensity (/km2)
01	Rogers Park	55,062	1.84	4.77	29,925.00	11,554.11
02	West Ridge	76,215	3.53	9.14	21,590.65	8,336.20
03	Uptown	57,973	2.32	6.01	24,988.36	9,648.06
04	Lincoln Square	41,715	2.56	6.63	16,294.92	6,291.50
05	North Center	35,789	2.05	5.31	17,458.05	6,740.59
06	Lake View	100,470	3.12	8.08	32,201.92	12,433.23
07	Lincoln Park	67,710	3.16	8.18	21,427.22	8,273.10
08	Near North Side	88,893	2.74	7.10	32,442.70	12,526.20
09	Edison Park	11,605	1.13	2.93	4,235.40	1,635.30
10	Norwood Park	37,089	4.37	11.32	8,487.19	3,276.92
11	Jefferson Park	26,808	2.33	6.03	11,505.58	4,442.33
12	Forest Glen	19,019	3.20	8.29	5,943.44	2,294.78
13	North Park	18,842	2.52	6.53	7,476.98	2,886.88
14	Albany Park	51,992	1.92	4.97	27,079.17	10,455.33
15	Portage Park	64,307	3.95	10.23	16,280.25	6,285.84
16	Irving Park	54,606	3.21	8.31	17,011.21	6,568.06
17	Dunning	43,689	3.72	9.63	11,744.35	4,534.52
18	Montclare	13,830	0.99	2.56	13,969.70	5,393.73
19	Belmont Cragin	79,910	3.91	10.13	20,437.34	7,890.90
20	Hermosa	24,144	1.17	3.03	20,635.90	7,967.57
21	Avondale	37,368	1.98	5.13	18,872.73	7,286.80
22	Logan Square	73,046	3.59	9.30	20,347.08	7,856.05
23	Humboldt Park	56,427	3.60	9.32	15,674.17	6,051.83
24	West Town	84,502	4.58	11.86	18,450.22	7,123.67
25	Austin	95,260	7.15	18.52	13,323.08	5,144.07
26	West Garfield Park	17,163	1.28	3.32	13,408.59	5,177.09
27	East Garfield Park	19,996	1.93	5.00	10,360.62	4,000.26
28	Near West Side	62,872	5.69	14.74	11,049.56	4,266.26
29	North Lawndale	35,947	3.21	8.31	11,198.44	4,323.74
30	South Lawndale	74,851	4.59	11.89	16,307.41	6,296.33
31	Lower West Side	32,888	2.93	7.59	11,224.57	4,333.83
32	(The) Loop[11]	35,880	1.65	4.27	21,745.45	8,395.97
33	Near South Side	23,620	1.78	4.61	13,269.66	5,123.44
34	Armour Square	13,455	1.00	2.59	13,455.00	5,195.00
35	Douglas	20,781	1.65	4.27	12,594.55	4,862.78
36	Oakland	6,645	0.58	1.50	11,456.90	4,423.53
37	Fuller Park	2,439	0.71	1.84	3,435.21	1,326.34
38	Grand Boulevard	22,313	1.74	4.51	12,823.56	4,951.20
39	Kenwood	17,189	1.04	2.69	16,527.88	6,381.45
40	Washington Park	11,502	1.52	3.94	7,567.11	2,921.68
41	Hyde Park	26,827	1.61	4.17	16,662.73	6,433.52
42	Woodlawn	23,268	2.07	5.36	11,240.58	4,340.01
43	South Shore	50,418	2.93	7.59	17,207.51	6,643.86
44	Chatham	31,120	2.95	7.64	10,549.15	4,073.05
45	Avalon Park	9,985	1.25	3.24	7,988.00	3,084.18
46	South Chicago	28,263	3.34	8.65	8,461.98	3,267.19
47	Burnside	2,254	0.61	1.58	3,695.08	1,426.68
48	Calumet Heights	13,188	1.75	4.53	7,536.00	2,909.67
49	Roseland	42,433	4.82	12.48	8,803.53	3,399.06
50	Pullman	6,613	2.12	5.49	3,119.34	1,204.38
51	South Deering	14,614	10.90	28.23	1,340.73	517.66
52	East Side	23,737	2.98	7.72	7,965.44	3,075.47
53	West Pullman	27,742	3.56	9.22	7,792.70	3,008.78
54	Riverdale	7,394	3.53	9.14	2,094.62	808.74
55	Hegewisch	9,418	5.24	13.57	1,797.33	693.95
56	Garfield Ridge	36,396	4.23	10.96	8,604.26	3,322.12
57	Archer Heights	13,142	2.01	5.21	6,538.31	2,524.46
58	Brighton Park	44,813	2.72	7.04	16,475.37	6,361.18
59	McKinley Park	15,767	1.41	3.65	11,182.27	4,317.50
60	Bridgeport	33,637	2.09	5.41	16,094.26	6,214.03
61	New City	39,561	4.83	12.51	8,190.68	3,162.44
62	West Elsdon	19,237	1.17	3.03	16,441.88	6,348.25
63	Gage Park	40,873	2.20	5.70	18,578.64	7,173.25
64	Clearing	25,891	2.55	6.60	10,153.33	3,920.22
65	West Lawn	33,108	2.95	7.64	11,223.05	4,333.24
66	Chicago Lawn	53,098	3.53	9.14	15,041.93	5,807.72
67	West Englewood	29,929	3.15	8.16	9,501.27	3,668.46
68	Englewood	25,075	3.07	7.95	8,167.75	3,153.59
69	Greater Grand Crossing	31,766	3.55	9.19	8,948.17	3,454.91
70	Ashburn	43,792	4.86	12.59	9,010.70	3,479.05
71	Auburn Gresham	46,278	3.77	9.76	12,275.33	4,739.53
72	Beverly	20,822	3.18	8.24	6,547.80	2,528.12
73	Washington Heights	27,453	2.86	7.41	9,598.95	3,706.18
74	Mount Greenwood	19,277	2.71	7.02	7,113.28	2,746.45
75	Morgan Park	22,394	3.30	8.55	6,786.06	2,620.11
76	O'Hare	12,377	13.34	34.55	927.81	358.23
77	Edgewater	55,965	1.74	4.51	32,163.79	12,418.51
Total	Chicago	2,722,586	227.34[12]	588.81	11,975.83	4,623.89
