ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12215263,JD424613,11/07/2020 11:56:00 PM,106XX S BENSLEY AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,SIDEWALK,false,false,0434,004,7,51,15,,,2020,11/14/2020 03:50:47 PM,,,
12215251,JD424585,11/07/2020 11:36:00 PM,029XX W JACKSON BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,true,false,1124,011,27,27,15,,,2020,11/14/2020 03:50:47 PM,,,
12216288,JD424636,11/07/2020 11:35:00 PM,075XX S WINCHESTER AVE,0460,BATTERY,SIMPLE,RESIDENCE,true,false,0611,006,17,71,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215330,JD424589,11/07/2020 11:31:00 PM,007XX N TROY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1221,012,27,23,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215326,JD424628,11/07/2020 11:30:00 PM,050XX S LAFLIN ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,false,false,0933,009,20,61,03,,,2020,11/14/2020 03:50:47 PM,,,
12215357,JD424706,11/07/2020 11:30:00 PM,028XX S SAWYER AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,true,false,1032,010,22,30,26,,,2020,11/14/2020 03:50:47 PM,,,
12215292,JD424575,11/07/2020 11:30:00 PM,0000X E 11TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,true,true,0123,001,4,32,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215520,JD424875,11/07/2020 11:30:00 PM,079XX S INGLESIDE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,0624,006,8,44,06,,,2020,11/14/2020 03:50:47 PM,,,
12215244,JD424588,11/07/2020 11:30:00 PM,051XX W GRAND AVE,2022,NARCOTICS,POSSESS - COCAINE,STREET,true,false,2522,025,36,19,18,,,2020,11/14/2020 03:50:47 PM,,,
12215511,JD424785,11/07/2020 11:30:00 PM,110XX S VERNON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0513,005,9,49,14,,,2020,11/14/2020 03:50:47 PM,,,
12215261,JD424582,11/07/2020 11:27:00 PM,0000X W 40TH PL,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,false,false,0213,002,3,38,15,,,2020,11/14/2020 03:50:47 PM,,,
12215253,JD424587,11/07/2020 11:25:00 PM,020XX N KEDVALE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,2525,025,35,20,15,,,2020,11/14/2020 03:50:47 PM,,,
12215259,JD424590,11/07/2020 11:20:00 PM,089XX S COTTAGE GROVE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0633,006,8,44,15,,,2020,11/14/2020 03:50:47 PM,,,
12215346,JD424631,11/07/2020 11:20:00 PM,009XX W 54TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,true,true,0934,009,20,61,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215254,JD424561,11/07/2020 11:15:00 PM,021XX S ALBANY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1022,010,24,30,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215270,JD424563,11/07/2020 11:13:00 PM,043XX N KIMBALL AVE,0460,BATTERY,SIMPLE,STREET,false,false,1723,017,35,16,08B,,,2020,11/14/2020 03:50:47 PM,,,
12217025,JD424574,11/07/2020 11:10:00 PM,006XX W HARRISON ST,0560,ASSAULT,SIMPLE,OTHER RAILROAD PROPERTY / TRAIN DEPOT,false,false,0124,001,25,28,08A,,,2020,11/14/2020 03:50:47 PM,,,
12215411,JD424559,11/07/2020 11:10:00 PM,101XX S HOXIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0431,004,7,51,14,,,2020,11/14/2020 03:50:47 PM,,,
12215354,JD424570,11/07/2020 11:08:00 PM,031XX W 65TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0831,008,17,66,15,,,2020,11/14/2020 03:50:47 PM,,,
12215283,JD424591,11/07/2020 11:08:00 PM,073XX S VERNON AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0323,003,6,69,15,,,2020,11/14/2020 03:50:47 PM,,,
12215269,JD424553,11/07/2020 11:04:00 PM,003XX N MASON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),false,false,1512,015,29,25,26,,,2020,11/14/2020 03:50:47 PM,,,
12218462,JD427995,11/07/2020 11:00:00 PM,104XX S WENTWORTH AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE - PORCH / HALLWAY,false,false,0512,005,34,49,26,,,2020,11/14/2020 03:50:47 PM,,,
12215229,JD424566,11/07/2020 11:00:00 PM,019XX W GARFIELD BLVD,2027,NARCOTICS,POSSESS - CRACK,ALLEY,true,false,0932,009,16,61,18,,,2020,11/14/2020 03:50:47 PM,,,
12215297,JD424567,11/07/2020 10:56:00 PM,002XX E 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,true,false,0311,003,20,40,15,,,2020,11/14/2020 03:50:47 PM,,,
12215304,JD424573,11/07/2020 10:50:00 PM,050XX W CONGRESS PKWY,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,true,false,1533,015,29,25,07,,,2020,11/14/2020 03:50:47 PM,,,
12215285,JD424556,11/07/2020 10:50:00 PM,014XX N LOTUS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2532,025,37,25,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215314,JD424548,11/07/2020 10:50:00 PM,023XX N SACRAMENTO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1414,014,1,22,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215824,JD425217,11/07/2020 10:30:00 PM,039XX W FLOURNOY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1132,011,24,26,08B,,,2020,11/14/2020 03:50:47 PM,,,
12216805,JD425225,11/07/2020 10:30:00 PM,064XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0312,003,20,69,06,,,2020,11/14/2020 03:50:47 PM,,,
12215262,JD424539,11/07/2020 10:28:00 PM,074XX N ASHLAND BLVD,0460,BATTERY,SIMPLE,APARTMENT,false,false,2422,024,49,1,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215246,JD424545,11/07/2020 10:26:00 PM,038XX W GRAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,2535,025,26,23,15,,,2020,11/14/2020 03:50:47 PM,,,
12215282,JD424437,11/07/2020 10:25:00 PM,082XX S ELLIS AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE - PORCH / HALLWAY,true,true,0631,006,8,44,04A,,,2020,11/14/2020 03:50:47 PM,,,
12215893,JD424530,11/07/2020 10:22:00 PM,079XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0624,006,6,44,08B,,,2020,11/14/2020 03:50:47 PM,,,
12216360,JD424519,11/07/2020 10:15:00 PM,005XX N STATE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1831,018,42,8,14,,,2020,11/14/2020 03:50:47 PM,,,
12215237,JD424518,11/07/2020 10:13:00 PM,014XX W 72ND ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,false,false,0734,007,17,67,04B,,,2020,11/14/2020 03:50:47 PM,,,
12215266,JD424532,11/07/2020 10:10:00 PM,030XX W 23RD ST,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,true,false,1033,010,12,30,18,,,2020,11/14/2020 03:50:47 PM,,,
12215585,JD424535,11/07/2020 10:08:00 PM,019XX W SUNNYSIDE AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,false,true,1912,019,47,4,04B,,,2020,11/14/2020 03:50:47 PM,,,
12215264,JD424522,11/07/2020 10:02:00 PM,009XX W 115TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2234,022,34,75,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215278,JD424572,11/07/2020 10:00:00 PM,069XX S PAXTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0331,003,5,43,08B,,,2020,11/14/2020 03:50:47 PM,,,
12220360,JD430452,11/07/2020 10:00:00 PM,011XX S MICHIGAN AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL / MOTEL,false,false,0123,001,4,32,02,,,2020,11/14/2020 03:50:47 PM,,,
12219814,JD429744,11/07/2020 10:00:00 PM,052XX S UNION AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0935,009,20,61,07,,,2020,11/14/2020 03:50:47 PM,,,
12216326,JD425244,11/07/2020 10:00:00 PM,033XX N PARIS AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1631,016,38,17,11,,,2020,11/14/2020 03:50:47 PM,,,
12215911,JD425339,11/07/2020 10:00:00 PM,026XX N NORMANDY AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,2512,025,36,18,08A,,,2020,11/14/2020 03:50:47 PM,,,
12215569,JD424794,11/07/2020 10:00:00 PM,002XX W 72ND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),false,true,0731,007,6,69,14,,,2020,11/14/2020 03:50:47 PM,,,
12216310,JD424892,11/07/2020 10:00:00 PM,010XX W 32ND ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,false,false,0913,009,11,60,14,,,2020,11/14/2020 03:50:47 PM,,,
12215361,JD424541,11/07/2020 10:00:00 PM,048XX S WOLCOTT AVE,0460,BATTERY,SIMPLE,ALLEY,false,false,0931,009,15,61,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215316,JD424503,11/07/2020 09:55:00 PM,041XX W 59TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0813,008,13,62,14,,,2020,11/14/2020 03:50:47 PM,,,
12217674,JD454509,11/07/2020 09:50:00 PM,054XX N CAMPBELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,2011,020,40,4,14,,,2020,11/14/2020 03:50:47 PM,,,
12215260,JD424534,11/07/2020 09:50:00 PM,050XX W ADDISON ST,0553,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,SIDEWALK,false,false,1634,016,31,15,04A,,,2020,11/14/2020 03:50:47 PM,,,
12215202,JD424517,11/07/2020 09:45:00 PM,035XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0212,002,4,36,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215239,JD424510,11/07/2020 09:45:00 PM,037XX W 83RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,false,false,0834,008,18,70,14,,,2020,11/14/2020 03:50:47 PM,,,
12215291,JD424508,11/07/2020 09:43:00 PM,032XX S LITUANICA AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",CHA PARKING LOT / GROUNDS,false,false,0913,009,11,60,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215190,JD424507,11/07/2020 09:40:00 PM,024XX W FARGO AVE,031A,ROBBERY,ARMED - HANDGUN,ALLEY,false,false,2411,024,50,2,03,,,2020,11/14/2020 03:50:47 PM,,,
12215284,JD424581,11/07/2020 09:34:00 PM,001XX E PERSHING RD,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE - PORCH / HALLWAY,true,false,0213,002,3,38,04A,,,2020,11/14/2020 03:50:47 PM,,,
12215187,JD424516,11/07/2020 09:33:00 PM,115XX S CHURCH ST,2027,NARCOTICS,POSSESS - CRACK,STREET,true,false,2212,022,34,75,18,,,2020,11/14/2020 03:50:47 PM,,,
12217052,JD424597,11/07/2020 09:30:00 PM,090XX S MARSHFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,2221,022,21,73,14,,,2020,11/14/2020 03:50:47 PM,,,
12215210,JD424511,11/07/2020 09:28:00 PM,034XX W VAN BUREN ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,true,false,1133,011,28,27,18,,,2020,11/14/2020 03:50:47 PM,,,
12215891,JD425268,11/07/2020 09:25:00 PM,013XX W 87TH ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,true,false,0613,006,21,71,22,,,2020,11/14/2020 03:50:47 PM,,,
12215181,JD424505,11/07/2020 09:22:00 PM,079XX S COTTAGE GROVE AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,SIDEWALK,true,false,0624,006,8,44,24,,,2020,11/14/2020 03:50:47 PM,,,
12215225,JD424521,11/07/2020 09:20:00 PM,071XX N WESTERN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,VEHICLE NON-COMMERCIAL,true,true,2411,024,50,2,26,,,2020,11/14/2020 03:50:47 PM,,,
12215194,JD424483,11/07/2020 09:20:00 PM,066XX S CARPENTER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0724,007,6,68,14,,,2020,11/14/2020 03:50:47 PM,,,
12215629,JD424486,11/07/2020 09:19:00 PM,004XX S KOSTNER AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,false,false,1131,011,28,26,26,,,2020,11/14/2020 03:50:47 PM,,,
12215744,JD424525,11/07/2020 09:19:00 PM,076XX N ROGERS AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2422,024,49,1,05,,,2020,11/14/2020 03:50:47 PM,,,
12215242,JD424488,11/07/2020 09:19:00 PM,111XX S EDBROOKE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,true,false,0531,005,9,49,15,,,2020,11/14/2020 03:50:47 PM,,,
12215173,JD424478,11/07/2020 09:17:00 PM,041XX S ROCKWELL ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,false,true,0921,009,12,58,04B,,,2020,11/14/2020 03:50:47 PM,,,
12215231,JD424491,11/07/2020 09:17:00 PM,011XX N DEARBORN ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1824,018,2,8,08B,,,2020,11/14/2020 03:50:47 PM,,,
12215301,JD424524,11/07/2020 09:15:00 PM,023XX N LOCKWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,false,false,2515,025,36,19,14,,,2020,11/14/2020 03:50:47 PM,,,
12215188,JD424494,11/07/2020 09:15:00 PM,004XX S PULASKI RD,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1132,011,28,26,06,,,2020,11/14/2020 03:50:47 PM,,,
